"repo","year","count","Repository Type"
"dataverse_datasets",2008,1,"Generalist"
"dataverse_datasets",2011,1,"Generalist"
"dataverse_datasets",2012,2,"Generalist"
"dataverse_datasets",2013,1,"Generalist"
"dataverse_datasets",2014,3,"Generalist"
"dataverse_datasets",2015,11,"Generalist"
"dataverse_datasets",2016,14,"Generalist"
"dataverse_datasets",2017,11,"Generalist"
"dataverse_datasets",2018,32,"Generalist"
"dataverse_datasets",2019,37,"Generalist"
"dataverse_datasets",2020,65,"Generalist"
"dataverse_datasets",2021,91,"Generalist"
"dryad",2013,1,"Generalist"
"dryad",2014,3,"Generalist"
"dryad",2015,6,"Generalist"
"dryad",2016,12,"Generalist"
"dryad",2017,10,"Generalist"
"dryad",2018,23,"Generalist"
"dryad",2019,39,"Generalist"
"dryad",2020,45,"Generalist"
"dryad",2021,70,"Generalist"
"figshare_subset",2011,1,"Generalist"
"figshare_subset",2012,1,"Generalist"
"figshare_subset",2013,10,"Generalist"
"figshare_subset",2014,16,"Generalist"
"figshare_subset",2015,467,"Generalist"
"figshare_subset",2016,866,"Generalist"
"figshare_subset",2017,442,"Generalist"
"figshare_subset",2018,1089,"Generalist"
"figshare_subset",2019,1582,"Generalist"
"figshare_subset",2020,2470,"Generalist"
"figshare_subset",2021,3403,"Generalist"
"kaggle",2016,35,"Specialist"
"kaggle",2017,144,"Specialist"
"kaggle",2018,187,"Specialist"
"kaggle",2019,241,"Specialist"
"kaggle",2020,663,"Specialist"
"kaggle",2021,737,"Specialist"
"openml",2014,1036,"Specialist"
"openml",2015,1323,"Specialist"
"openml",2016,55,"Specialist"
"openml",2017,95,"Specialist"
"openml",2018,41,"Specialist"
"openml",2019,422,"Specialist"
"openml",2020,253,"Specialist"
"openml",2021,192,"Specialist"
"uci",2000,3,"Specialist"
"uci",2001,4,"Specialist"
"uci",2002,1,"Specialist"
"uci",2003,1,"Specialist"
"uci",2006,2,"Specialist"
"uci",2007,5,"Specialist"
"uci",2008,17,"Specialist"
"uci",2009,8,"Specialist"
"uci",2010,11,"Specialist"
"uci",2011,18,"Specialist"
"uci",2012,20,"Specialist"
"uci",2013,33,"Specialist"
"uci",2014,41,"Specialist"
"uci",2015,27,"Specialist"
"uci",2016,39,"Specialist"
"uci",2017,38,"Specialist"
"uci",2018,54,"Specialist"
"uci",2019,59,"Specialist"
"uci",2020,46,"Specialist"
"uci",2021,7,"Specialist"
"ucsd",2019,6,"Generalist"
"ucsd",2020,12,"Generalist"
"ucsd",2021,7,"Generalist"
"zenodo_subset",2006,1,"Generalist"
"zenodo_subset",2012,3,"Generalist"
"zenodo_subset",2013,4,"Generalist"
"zenodo_subset",2014,11,"Generalist"
"zenodo_subset",2015,29,"Generalist"
"zenodo_subset",2016,52,"Generalist"
"zenodo_subset",2017,97,"Generalist"
"zenodo_subset",2018,179,"Generalist"
"zenodo_subset",2019,326,"Generalist"
"zenodo_subset",2020,642,"Generalist"
"zenodo_subset",2021,872,"Generalist"
