,year,count,repo
0,1991,1,figshare_full
1,1995,1,figshare_full
2,2002,1,figshare_full
3,2003,5,figshare_full
4,2004,2,figshare_full
5,2005,3,figshare_full
6,2006,6,figshare_full
7,2007,5,figshare_full
8,2008,4,figshare_full
9,2009,5,figshare_full
10,2010,12,figshare_full
11,2011,66,figshare_full
12,2012,20,figshare_full
13,2013,44,figshare_full
14,2014,67,figshare_full
15,2015,1159,figshare_full
16,2016,1522,figshare_full
17,2017,1148,figshare_full
18,2018,2895,figshare_full
19,2019,3718,figshare_full
20,2020,5763,figshare_full
21,2021,7739,figshare_full
