,year,count,repo
0,1970,2,zenodo_full
1,1996,1,zenodo_full
2,2000,1,zenodo_full
3,2001,1,zenodo_full
4,2002,1,zenodo_full
5,2003,1,zenodo_full
6,2004,3,zenodo_full
7,2005,1,zenodo_full
8,2006,7,zenodo_full
9,2007,139,zenodo_full
10,2008,118,zenodo_full
11,2009,97,zenodo_full
12,2010,98,zenodo_full
13,2011,82,zenodo_full
14,2012,86,zenodo_full
15,2013,98,zenodo_full
16,2014,133,zenodo_full
17,2015,191,zenodo_full
18,2016,288,zenodo_full
19,2017,432,zenodo_full
20,2018,784,zenodo_full
21,2019,1245,zenodo_full
22,2020,1967,zenodo_full
23,2021,2180,zenodo_full
24,2022,2,zenodo_full
