,index,files,repo
0,0,,dataverse_datasets
1,0,.tab,dataverse_datasets
2,0,.pickle,dataverse_datasets
3,0,.txt,dataverse_datasets
4,0,.json,dataverse_datasets
5,0,.md,dataverse_datasets
6,0,.zip,dataverse_datasets
7,0,.log,dataverse_datasets
8,0,.pth.tar,dataverse_datasets
9,0,.npz,dataverse_datasets
10,1,.md,dataverse_datasets
11,1,.msgpack.tar.gz,dataverse_datasets
12,1,.tar.gz,dataverse_datasets
13,2,.tab,dataverse_datasets
14,2,.R,dataverse_datasets
15,2,.docx,dataverse_datasets
16,3,.tab,dataverse_datasets
17,4,.zip,dataverse_datasets
18,5,.xls,dataverse_datasets
19,7,.tar.xz,dataverse_datasets
20,8,.spv,dataverse_datasets
21,8,.tab,dataverse_datasets
22,8,.csaplan,dataverse_datasets
23,8,.py,dataverse_datasets
24,8,.png,dataverse_datasets
25,8,.csv,dataverse_datasets
26,8,.xlsx,dataverse_datasets
27,8,.txt,dataverse_datasets
28,9,.tab,dataverse_datasets
29,9,.csv,dataverse_datasets
30,10,.docx,dataverse_datasets
31,11,.pdf,dataverse_datasets
32,11,.key,dataverse_datasets
33,12,.pdf,dataverse_datasets
34,12,.key,dataverse_datasets
35,13,,dataverse_datasets
36,13,.pdf,dataverse_datasets
37,13,.tab,dataverse_datasets
38,13,.dat,dataverse_datasets
39,13,.Rd,dataverse_datasets
40,13,.stan,dataverse_datasets
41,13,.dta,dataverse_datasets
42,13,.Rproj,dataverse_datasets
43,13,.yml,dataverse_datasets
44,13,.csv,dataverse_datasets
45,13,.md,dataverse_datasets
46,13,.R,dataverse_datasets
47,13,.txt,dataverse_datasets
48,14,.cpickle,dataverse_datasets
49,15,.zip,dataverse_datasets
50,16,.nc-a,dataverse_datasets
51,16,.txt,dataverse_datasets
52,16,.nc-c,dataverse_datasets
53,16,.nc-b,dataverse_datasets
54,17,.tab,dataverse_datasets
55,18,.py,dataverse_datasets
56,18,.txt,dataverse_datasets
57,18,.pkl,dataverse_datasets
58,19,.tab,dataverse_datasets
59,19,.R,dataverse_datasets
60,20,.rar,dataverse_datasets
61,21,.xlsx,dataverse_datasets
62,22,.parquet,dataverse_datasets
63,22,.xlsx,dataverse_datasets
64,22,.pkl,dataverse_datasets
65,22,.ipynb,dataverse_datasets
66,23,.zip,dataverse_datasets
67,24,.Rmd,dataverse_datasets
68,24,.tab,dataverse_datasets
69,24,.txt,dataverse_datasets
70,25,.str,dataverse_datasets
71,25,.fasta,dataverse_datasets
72,25,.loci,dataverse_datasets
73,25,.alata_reordered.str,dataverse_datasets
74,25,.35,dataverse_datasets
75,26,.zip,dataverse_datasets
76,26,.docx,dataverse_datasets
77,27,.tab,dataverse_datasets
78,28,.md,dataverse_datasets
79,28,.out,dataverse_datasets
80,28,.xyz,dataverse_datasets
81,29,.tab,dataverse_datasets
82,29,.smcl,dataverse_datasets
83,29,.do,dataverse_datasets
84,29,.csv,dataverse_datasets
85,29,.R,dataverse_datasets
86,30,.tab,dataverse_datasets
87,30,.csv.tab,dataverse_datasets
88,30,.RData,dataverse_datasets
89,30,.1.tab,dataverse_datasets
90,30,.do,dataverse_datasets
91,30,.ods,dataverse_datasets
92,30,.csv,dataverse_datasets
93,30,.xlsx,dataverse_datasets
94,30,.R,dataverse_datasets
95,30,.txt,dataverse_datasets
96,31,.csv,dataverse_datasets
97,31,,dataverse_datasets
98,31,.txt,dataverse_datasets
99,32,.joblib,dataverse_datasets
100,32,.nc,dataverse_datasets
101,33,.tab,dataverse_datasets
102,34,.json,dataverse_datasets
103,34,.h5,dataverse_datasets
104,34,.csv,dataverse_datasets
105,35,.tar.gz,dataverse_datasets
106,36,.tab,dataverse_datasets
107,36,.R,dataverse_datasets
108,36,.txt,dataverse_datasets
109,37,.tab,dataverse_datasets
110,38,.fits,dataverse_datasets
111,39,.pdf,dataverse_datasets
112,39,.eps,dataverse_datasets
113,39,.h5,dataverse_datasets
114,40,.xls,dataverse_datasets
115,41,.txt,dataverse_datasets
116,42,.docx,dataverse_datasets
117,43,.zip,dataverse_datasets
118,44,,dataverse_datasets
119,44,.tab,dataverse_datasets
120,44,.mk,dataverse_datasets
121,44,.ttf,dataverse_datasets
122,44,.sh,dataverse_datasets
123,44,.py,dataverse_datasets
124,44,.yml,dataverse_datasets
125,44,.csv,dataverse_datasets
126,44,.md,dataverse_datasets
127,44,.R,dataverse_datasets
128,45,.pdf,dataverse_datasets
129,45,.h5,dataverse_datasets
130,46,.ipynb,dataverse_datasets
131,47,.npy,dataverse_datasets
132,47,.POST_STACK.segy,dataverse_datasets
133,48,.pdf,dataverse_datasets
134,48,.tab,dataverse_datasets
135,48,.rtf,dataverse_datasets
136,48,.smcl,dataverse_datasets
137,48,.do,dataverse_datasets
138,48,.R.txt,dataverse_datasets
139,48,.R,dataverse_datasets
140,48,.txt,dataverse_datasets
141,49,.tab,dataverse_datasets
142,49,.R,dataverse_datasets
143,50,.xlsx,dataverse_datasets
144,51,.tab,dataverse_datasets
145,51,.xls,dataverse_datasets
146,52,.do,dataverse_datasets
147,52,.tab,dataverse_datasets
148,52,.xls,dataverse_datasets
149,52,.R,dataverse_datasets
150,53,.tab,dataverse_datasets
151,53,.do,dataverse_datasets
152,53,.xls,dataverse_datasets
153,53,.R,dataverse_datasets
154,53,.txt,dataverse_datasets
155,54,.tab,dataverse_datasets
156,55,.py,dataverse_datasets
157,55,.vec,dataverse_datasets
158,55,.tac,dataverse_datasets
159,55,.txt,dataverse_datasets
160,56,.chi,dataverse_datasets
161,56,.prj,dataverse_datasets
162,56,.txt,dataverse_datasets
163,57,.zip.001,dataverse_datasets
164,57,.zip.002,dataverse_datasets
165,58,.pdf,dataverse_datasets
166,58,.tab,dataverse_datasets
167,58,.sh,dataverse_datasets
168,58,.rdata,dataverse_datasets
169,58,.zip,dataverse_datasets
170,58,.R,dataverse_datasets
171,58,.txt,dataverse_datasets
172,59,.tab,dataverse_datasets
173,59,.do,dataverse_datasets
174,60,.3-5.LPJ-GUESS.zip,dataverse_datasets
175,60,.2.ML.zip,dataverse_datasets
176,60,.3-5.ML.zip,dataverse_datasets
177,60,.1.PMIP_SAT_spread.zip,dataverse_datasets
178,61,,dataverse_datasets
179,61,.xlsx,dataverse_datasets
180,61,.fdt,dataverse_datasets
181,61,.set,dataverse_datasets
182,62,.rds,dataverse_datasets
183,62,.R,dataverse_datasets
184,63,.ipynb,dataverse_datasets
185,63,.py,dataverse_datasets
186,63,.json,dataverse_datasets
187,63,.tar.gz,dataverse_datasets
188,63,.txt,dataverse_datasets
189,64,.9.zip.rar,dataverse_datasets
190,64,.zip.rar,dataverse_datasets
191,64,.0.zip.rar,dataverse_datasets
192,64,.txt,dataverse_datasets
193,65,.md,dataverse_datasets
194,65,.py,dataverse_datasets
195,65,.yml,dataverse_datasets
196,66,,dataverse_datasets
197,66,.ipynb,dataverse_datasets
198,66,.gp,dataverse_datasets
199,66,.py,dataverse_datasets
200,66,.mff,dataverse_datasets
201,66,.awk,dataverse_datasets
202,66,.in,dataverse_datasets
203,66,.zip,dataverse_datasets
204,67,.csv,dataverse_datasets
205,68,.tab,dataverse_datasets
206,68,.rd,dataverse_datasets
207,68,.rdata,dataverse_datasets
208,69,.csv,dataverse_datasets
209,70,,dataverse_datasets
210,71,.pdf,dataverse_datasets
211,71,.tar.gz,dataverse_datasets
212,73,.tab,dataverse_datasets
213,73,.rtf,dataverse_datasets
214,73,.R,dataverse_datasets
215,73,.Rda,dataverse_datasets
216,74,.tab,dataverse_datasets
217,74,.csv,dataverse_datasets
218,75,.csv,dataverse_datasets
219,76,.tab,dataverse_datasets
220,76,.tiff,dataverse_datasets
221,77,.csv,dataverse_datasets
222,78,.tab,dataverse_datasets
223,78,.png,dataverse_datasets
224,78,.R,dataverse_datasets
225,78,.txt,dataverse_datasets
226,79,.tab,dataverse_datasets
227,80,.tab,dataverse_datasets
228,81,.tar.gz,dataverse_datasets
229,81,.fasta.gz,dataverse_datasets
230,81,.hhm.gz,dataverse_datasets
231,82,,dataverse_datasets
232,82,.tif,dataverse_datasets
233,82,.R,dataverse_datasets
234,83,.tab,dataverse_datasets
235,83,.do,dataverse_datasets
236,83,.R,dataverse_datasets
237,83,.docx,dataverse_datasets
238,84,.db,dataverse_datasets
239,84,.txt,dataverse_datasets
240,85,.tab,dataverse_datasets
241,86,.tab,dataverse_datasets
242,86,.tiff,dataverse_datasets
243,87,.md,dataverse_datasets
244,87,.zip,dataverse_datasets
245,88,.sql,dataverse_datasets
246,89,.tab,dataverse_datasets
247,90,.wav,dataverse_datasets
248,91,.rar,dataverse_datasets
249,91,.txt-05-ngrams-Freq.txt,dataverse_datasets
250,91,.txt-04-ngrams-Freq.txt,dataverse_datasets
251,91,.txt-02-ngrams-Freq.txt,dataverse_datasets
252,91,.txt-03-ngrams-Freq.txt,dataverse_datasets
253,92,.pdf,dataverse_datasets
254,93,,dataverse_datasets
255,93,.tab,dataverse_datasets
256,93,.ipynb,dataverse_datasets
257,93,.eps,dataverse_datasets
258,93,.py,dataverse_datasets
259,93,.png,dataverse_datasets
260,93,.csv,dataverse_datasets
261,93,.md,dataverse_datasets
262,93,.txt,dataverse_datasets
263,94,,dataverse_datasets
264,94,.m,dataverse_datasets
265,94,.sample,dataverse_datasets
266,94,.mat,dataverse_datasets
267,94,.sh,dataverse_datasets
268,94,.txt,dataverse_datasets
269,94,.idx,dataverse_datasets
270,94,.png,dataverse_datasets
271,94,.dlabel.nii,dataverse_datasets
272,94,.java,dataverse_datasets
273,94,.md,dataverse_datasets
274,94,.pack,dataverse_datasets
275,94,.class,dataverse_datasets
276,95,,dataverse_datasets
277,95,.m~,dataverse_datasets
278,95,.m,dataverse_datasets
279,95,.sample,dataverse_datasets
280,95,.PNG,dataverse_datasets
281,95,.sh,dataverse_datasets
282,95,.xml,dataverse_datasets
283,95,.pack,dataverse_datasets
284,95,.py,dataverse_datasets
285,95,.prj,dataverse_datasets
286,95,.png,dataverse_datasets
287,95,.class,dataverse_datasets
288,95,.java,dataverse_datasets
289,95,.txt,dataverse_datasets
290,95,.md,dataverse_datasets
291,95,.idx,dataverse_datasets
292,95,.html,dataverse_datasets
293,95,.mltbx,dataverse_datasets
294,96,.tab,dataverse_datasets
295,96,.txt,dataverse_datasets
296,97,.zip,dataverse_datasets
297,98,.tab,dataverse_datasets
298,98,.py,dataverse_datasets
299,98,.hdf5,dataverse_datasets
300,98,.Rds,dataverse_datasets
301,98,.md,dataverse_datasets
302,98,.R,dataverse_datasets
303,99,.tar.gz,dataverse_datasets
304,100,.part020.rar,dataverse_datasets
305,100,.part031.rar,dataverse_datasets
306,100,.part013.rar,dataverse_datasets
307,100,.part019.rar,dataverse_datasets
308,100,.part032.rar,dataverse_datasets
309,100,.part012.rar,dataverse_datasets
310,100,.part018.rar,dataverse_datasets
311,100,.part025.rar,dataverse_datasets
312,100,.part030.rar,dataverse_datasets
313,100,.part016.rar,dataverse_datasets
314,100,.part010.rar,dataverse_datasets
315,100,.part005.rar,dataverse_datasets
316,100,.part001.rar,dataverse_datasets
317,100,.part028.rar,dataverse_datasets
318,100,.part037.rar,dataverse_datasets
319,100,.part004.rar,dataverse_datasets
320,100,.part002.rar,dataverse_datasets
321,100,.part033.rar,dataverse_datasets
322,100,.part008.rar,dataverse_datasets
323,100,.part015.rar,dataverse_datasets
324,100,.part021.rar,dataverse_datasets
325,100,.part036.rar,dataverse_datasets
326,100,.part014.rar,dataverse_datasets
327,100,.part003.rar,dataverse_datasets
328,100,.part007.rar,dataverse_datasets
329,100,.part040.rar,dataverse_datasets
330,100,.part038.rar,dataverse_datasets
331,100,.part011.rar,dataverse_datasets
332,100,.part009.rar,dataverse_datasets
333,100,.txt,dataverse_datasets
334,100,.part023.rar,dataverse_datasets
335,100,.part026.rar,dataverse_datasets
336,100,.part041.rar,dataverse_datasets
337,100,.part017.rar,dataverse_datasets
338,100,.part029.rar,dataverse_datasets
339,100,.part034.rar,dataverse_datasets
340,100,.part006.rar,dataverse_datasets
341,100,.part035.rar,dataverse_datasets
342,100,.part022.rar,dataverse_datasets
343,100,.part027.rar,dataverse_datasets
344,100,.part024.rar,dataverse_datasets
345,100,.part039.rar,dataverse_datasets
346,101,.csv,dataverse_datasets
347,101,.RData,dataverse_datasets
348,101,.R,dataverse_datasets
349,101,.txt,dataverse_datasets
350,102,.tab,dataverse_datasets
351,102,.arff,dataverse_datasets
352,102,.rtf,dataverse_datasets
353,102,.do,dataverse_datasets
354,102,.R,dataverse_datasets
355,102,.txt,dataverse_datasets
356,103,.tab,dataverse_datasets
357,104,.tab,dataverse_datasets
358,105,,dataverse_datasets
359,105,.ckpt,dataverse_datasets
360,105,.py,dataverse_datasets
361,105,.md,dataverse_datasets
362,105,.cpython-36.pyc,dataverse_datasets
363,106,.sql,dataverse_datasets
364,106,.xlsx,dataverse_datasets
365,106,.tab,dataverse_datasets
366,106,.csv,dataverse_datasets
367,107,.doc,dataverse_datasets
368,107,.vhdr,dataverse_datasets
369,107,.eeg,dataverse_datasets
370,107,.vmrk,dataverse_datasets
371,108,.pdf,dataverse_datasets
372,108,.jpg,dataverse_datasets
373,108,.docx,dataverse_datasets
374,108,.csv,dataverse_datasets
375,108,.doc,dataverse_datasets
376,108,.xlsx,dataverse_datasets
377,109,.txt,dataverse_datasets
378,109,._wrdFtr.csv,dataverse_datasets
379,109,.csv,dataverse_datasets
380,110,.pdf,dataverse_datasets
381,110,,dataverse_datasets
382,110,.tab,dataverse_datasets
383,110,.01.tab,dataverse_datasets
384,110,.sh,dataverse_datasets
385,110,.slurm,dataverse_datasets
386,110,.0.tab,dataverse_datasets
387,110,.yml,dataverse_datasets
388,110,.r,dataverse_datasets
389,111,.pdf,dataverse_datasets
390,111,.tab,dataverse_datasets
391,111,.smcl,dataverse_datasets
392,111,.txt,dataverse_datasets
393,111,.do,dataverse_datasets
394,111,.csv,dataverse_datasets
395,111,.R,dataverse_datasets
396,111,.Rhistory,dataverse_datasets
397,112,.zip,dataverse_datasets
398,113,.data,dataverse_datasets
399,113,.arff,dataverse_datasets
400,114,.xlsx,dataverse_datasets
401,114,.m,dataverse_datasets
402,114,.docx,dataverse_datasets
403,114,.txt,dataverse_datasets
404,115,.tif,dataverse_datasets
405,116,.xls,dataverse_datasets
406,116,.names,dataverse_datasets
407,116,.data,dataverse_datasets
408,117,.pdf,dataverse_datasets
409,117,.zip,dataverse_datasets
410,117,.rar,dataverse_datasets
411,118,.tab,dataverse_datasets
412,118,.rar,dataverse_datasets
413,118,.csv,dataverse_datasets
414,119,.nml,dataverse_datasets
415,119,.tar,dataverse_datasets
416,119,.txt,dataverse_datasets
417,120,.pdf,dataverse_datasets
418,120,.R~,dataverse_datasets
419,120,.R,dataverse_datasets
420,120,.csv,dataverse_datasets
421,121,.z01,dataverse_datasets
422,121,.zip,dataverse_datasets
423,121,.z02,dataverse_datasets
424,121,.z03,dataverse_datasets
425,122,,dataverse_datasets
426,122,.ps,dataverse_datasets
427,122,.tab,dataverse_datasets
428,122,.RData,dataverse_datasets
429,122,.job,dataverse_datasets
430,122,.csv,dataverse_datasets
431,122,.R,dataverse_datasets
432,123,.tab,dataverse_datasets
433,123,.do,dataverse_datasets
434,123,.R,dataverse_datasets
435,123,.docx,dataverse_datasets
436,124,.tab,dataverse_datasets
437,124,.all.tab,dataverse_datasets
438,124,.Rmd,dataverse_datasets
439,124,.png,dataverse_datasets
440,124,.R,dataverse_datasets
441,124,.txt,dataverse_datasets
442,125,.zip,dataverse_datasets
443,126,.tab,dataverse_datasets
444,126,.do,dataverse_datasets
445,126,.R,dataverse_datasets
446,126,.docx,dataverse_datasets
447,127,.rar,dataverse_datasets
448,128,.zip,dataverse_datasets
449,128,.tab,dataverse_datasets
450,129,.tab,dataverse_datasets
451,129,.txt,dataverse_datasets
452,129,.csv,dataverse_datasets
453,130,.tab,dataverse_datasets
454,130,.do,dataverse_datasets
455,130,.R,dataverse_datasets
456,130,.docx,dataverse_datasets
457,131,.tab,dataverse_datasets
458,131,.do,dataverse_datasets
459,131,.R,dataverse_datasets
460,131,.docx,dataverse_datasets
461,132,,dataverse_datasets
462,132,.pdf,dataverse_datasets
463,132,.tab,dataverse_datasets
464,132,.Rdata,dataverse_datasets
465,132,.yml,dataverse_datasets
466,132,.csv,dataverse_datasets
467,132,.md,dataverse_datasets
468,132,.R,dataverse_datasets
469,132,.txt,dataverse_datasets
470,133,.tab,dataverse_datasets
471,133,.tif,dataverse_datasets
472,133,.tif.ovr,dataverse_datasets
473,133,.tif.xml,dataverse_datasets
474,133,.tif.aux.xml,dataverse_datasets
475,133,.tfw,dataverse_datasets
476,133,.zip,dataverse_datasets
477,134,.tar.gz,dataverse_datasets
478,135,.syn1.npy.gz,dataverse_datasets
479,135,.syn0.npy.gz,dataverse_datasets
480,135,.wv.vectors.npy.gz,dataverse_datasets
481,135,.syn0.npy-008.gz,dataverse_datasets
482,135,.tar.gz,dataverse_datasets
483,135,.bin.gz,dataverse_datasets
484,135,.syn1.npy-006.gz,dataverse_datasets
