,index,files,repo
0,493,.csv.docx,dryad
1,493,.csv.zip,dryad
2,493,.docx,dryad
3,493,.csv,dryad
4,665,.csv,dryad
5,672,.zip,dryad
6,775,.xlsx,dryad
7,775,.h5,dryad
8,791,.pdb,dryad
9,791,.itp,dryad
10,791,.tgz,dryad
11,791,.tpr,dryad
12,791,.rtp,dryad
13,791,.atp,dryad
14,998,.zip,dryad
15,1033,.tar.txt,dryad
16,1033,.tar.gz,dryad
17,1383,.txt,dryad
18,1383,.r,dryad
19,1564,.txt,dryad
20,1564,.rar,dryad
21,1687,.pdf,dryad
22,1687,.zip,dryad
23,1705,.tar.bz2,dryad
24,1705,.csv,dryad
25,2250,.tar.txt,dryad
26,2250,.tar.gz,dryad
27,2590,.xlsx,dryad
28,2590,.7z,dryad
29,2678,.pdf,dryad
30,2678,.zip,dryad
31,2813,.csv,dryad
32,3134,.xlsx,dryad
33,3784,.zip,dryad
34,4211,.pkl,dryad
35,4211,.hdf5,dryad
36,4211,.pkl.pkl,dryad
37,4211,.zip,dryad
38,4873,.xlsx,dryad
39,4967,.pdf,dryad
40,4967,.zip,dryad
41,7103,.txt,dryad
42,7103,.csv,dryad
43,7157,.xlsx,dryad
44,7157,.docx,dryad
45,7757,.xlsx,dryad
46,8435,.zip,dryad
47,9506,.txt,dryad
48,9506,.csv,dryad
49,9789,.txt,dryad
50,9789,.zip,dryad
51,9936,.xlsx,dryad
52,10528,.R,dryad
53,10528,.docx,dryad
54,10528,.RData,dryad
55,10587,.xlsx,dryad
56,10893,.py,dryad
57,10955,.xlsx,dryad
58,10955,.csv,dryad
59,11312,.txt,dryad
60,11312,.zip,dryad
61,11652,.txt,dryad
62,11652,.tsv,dryad
63,12676,.txt,dryad
64,12842,.txt,dryad
65,12842,.zip,dryad
66,16716,.csv,dryad
67,17689,.zip,dryad
68,18295,.csv,dryad
69,18998,.txt,dryad
70,18998,.zip,dryad
71,19015,.txt,dryad
72,19015,.zip,dryad
73,19100,.zip,dryad
74,20085,.zip,dryad
75,20134,.archipelago_b198966.rev_908f161.tbz,dryad
76,20134,.tar.gz,dryad
77,20134,.analysis.2015-10-10.archipelago_a2a63ae.rev_99037f0+supplemental.tbz,dryad
78,20134,.results.tar.gz,dryad
79,20134,.archipelago_54fef83.rev_f49101c.tbz,dryad
80,20134,.archipelago_2c8ab2d.rev_9bc2a6f.tbz,dryad
81,20302,.txt,dryad
82,20302,.hmp.txt,dryad
83,20395,.xlsx,dryad
84,21074,.xlsx,dryad
85,21689,.docx,dryad
86,21689,.zip,dryad
87,21702,.zip,dryad
88,21788,.txt,dryad
89,21788,.csv,dryad
90,21788,.zip,dryad
91,21818,,dryad
92,21818,.R,dryad
93,21818,.likelihoods_lamps_hybrid.txt,dryad
94,21818,.Flowchart.pdf,dryad
95,21818,.BioGeoBears_results.txt,dryad
96,21818,.xml,dryad
97,21818,.pdf,dryad
98,21818,. Slope Stats.pdf,dryad
99,21818,.zip,dryad
100,21818,.txt,dryad
101,21886,.zip,dryad
102,22122,.xlsx,dryad
103,22122,.R,dryad
104,22122,.docx,dryad
105,22122,.csv,dryad
106,22122,.rb,dryad
107,22122,.txt,dryad
108,22132,.csv,dryad
109,22225,.xlsx,dryad
110,22225,.R,dryad
111,22225,.csv,dryad
112,22225,.zip,dryad
113,22425,.pdf,dryad
114,22425,.R,dryad
115,22425,.txt,dryad
116,22425,.tar,dryad
117,22658,.zip,dryad
118,22729,.txt,dryad
119,22922,.txt,dryad
120,22922,.zip,dryad
121,22958,.txt,dryad
122,22958,.zip,dryad
123,23144,.R,dryad
124,23144,.csv,dryad
125,23265,.xls,dryad
126,23520,.zip,dryad
127,23932,.txt,dryad
128,23932,.rar,dryad
129,24458,.tar.txt,dryad
130,24458,.tar.gz,dryad
131,24617,.xls,dryad
132,24782,.mean.rangewide.csv,dryad
133,24782,.csv,dryad
134,24782,.zip,dryad
135,25393,.txt,dryad
136,25884,.xlsx,dryad
137,25971,.xlsx,dryad
138,25971,.pdf,dryad
139,26197,.tif,dryad
140,27035,.mean.tif,dryad
141,27035,.R,dryad
142,27035,.tif,dryad
143,27035,.prop.tif,dryad
144,27035,.Q75.tif,dryad
145,27035,.zip,dryad
146,27035,.txt,dryad
147,27360,.xlsx,dryad
148,27360,.csv,dryad
149,27360,.vcf.gz,dryad
150,27360,.zip,dryad
151,27746,.05.13.pptx,dryad
152,27746,.05.13.xlsx,dryad
153,27901,,dryad
154,27901,.xlsx,dryad
155,27901,.nex,dryad
156,27901,.R,dryad
157,27901,.phy,dryad
158,27901,. NN_Table_All_Stats.txt,dryad
159,27901,.docx,dryad
160,27901,.treefile,dryad
161,27901,.zip,dryad
162,27901,.txt,dryad
163,27912,.csv,dryad
164,28106,.m,dryad
165,28106,.mat,dryad
166,28192,.xlsx,dryad
167,28194,.zip,dryad
168,28331,.Rdata,dryad
169,28331,.R,dryad
170,28463,.txt,dryad
171,28463,.rar,dryad
172,28613,.pdf,dryad
173,28613,.zip,dryad
174,28790,.xlsx,dryad
175,29230,.xlsx,dryad
176,29230,.csv,dryad
177,29230,.7z,dryad
178,29230,.zip,dryad
179,29404,.csv,dryad
180,29431,.docx,dryad
181,29494,.json,dryad
182,29494,.pdf,dryad
183,29494,.zip,dryad
184,30412,.docx,dryad
185,30412,.csv,dryad
186,30511,.hdf5,dryad
187,30581,,dryad
188,30581,.rds,dryad
189,30812,.docx,dryad
190,30850,.xlsx,dryad
191,31132,.models,dryad
192,31132,.xlsx,dryad
193,31132,.nex,dryad
194,31132,.csv,dryad
195,31132,.phy,dryad
196,31132,.tre,dryad
197,31132,.pdf,dryad
198,31132,.trees,dryad
199,31411,.pdf,dryad
200,31411,.zip,dryad
201,33113,.txt,dryad
202,33113,.csv,dryad
203,35632,.Stru,dryad
204,35632,.kml,dryad
205,35632,.csv,dryad
206,35632,.jpg,dryad
207,35897,.xlsx,dryad
208,36918,.tgz,dryad
209,37525,.phy,dryad
210,37657,.xlsx,dryad
211,37657,.pdf,dryad
212,37677,.R,dryad
213,37677,.csv,dryad
214,37677,.zip,dryad
215,37807,.tif,dryad
216,37902,.zip,dryad
217,38307,.zip,dryad
218,38663,,dryad
219,38663,.md,dryad
220,38663,.py,dryad
221,38663,.lstm,dryad
222,38663,.log,dryad
223,38663,.train.eos.txt,dryad
224,39183,.zip,dryad
225,39807,.txt,dryad
226,39807,.zip,dryad
227,40229,.zip,dryad
228,40242,.fasta,dryad
229,40242,.tsv,dryad
230,40246,.Rdata,dryad
231,40726,.xlsx,dryad
232,40726,.docx,dryad
233,41152,.tar.gz,dryad
234,41757,.md,dryad
235,41757,.shp,dryad
236,41757,.prj,dryad
237,41757,.pdf,dryad
238,41757,.shx,dryad
239,41757,.dbf,dryad
240,42339,.md,dryad
241,42339,.shp,dryad
242,42339,.dbf,dryad
243,42339,.pdf,dryad
244,42339,.shx,dryad
245,42339,.prj,dryad
246,42372,.xlsx,dryad
247,42691,.txt,dryad
248,42691,.tgz,dryad
249,43030,.pdf,dryad
250,43379,.tar.gz,dryad
251,43757,.csv,dryad
252,44000,.fastq.gz,dryad
253,44000,.nex,dryad
254,44179,.1_results_validated.csv,dryad
255,44179,.csv,dryad
256,44692,.docx,dryad
257,44692,.csv,dryad
258,44983,,dryad
259,44983,.pdf,dryad
260,44983,.R,dryad
261,44983,.csv,dryad
262,45624,.R.txt,dryad
263,45624,.csv,dryad
264,46483,.txt,dryad
265,46483,.dat.zip,dryad
266,46541,.pdf,dryad
267,46604,.docx,dryad
268,46604,.zip,dryad
269,46848,.h5,dryad
270,46848,.docx,dryad
271,46848,.tar.gz,dryad
272,47536,.zip,dryad
273,49069,.pdf,dryad
274,49069,.html,dryad
275,49069,.zip,dryad
276,49162,.zip,dryad
277,49285,.xlsx,dryad
278,49285,.txt,dryad
279,49285,.csv,dryad
280,49541,.tar.gz,dryad
281,49800,.mat,dryad
282,49957,.zip,dryad
283,50040,.tar.gz,dryad
284,50287,.vcf,dryad
285,50287,.csv,dryad
286,50287,.vcf.gz,dryad
287,50586,.docx,dryad
288,51006,.xlsx,dryad
289,51006,.csv,dryad
290,51161,.csv,dryad
291,51625,.pdf,dryad
292,51981,.zip,dryad
293,52301,.txt,dryad
294,52301,.tar.gz,dryad
295,52388,.tar.gz,dryad
296,52751,.th,dryad
297,52751,.txt,dryad
298,52751,.csv,dryad
299,53069,.R,dryad
300,53069,.txt,dryad
301,53959,.rar,dryad
302,54122,.xlsx,dryad
303,54293,.csv,dryad
304,54354,.raw,dryad
305,54354,.map,dryad
306,54354,.csv,dryad
307,54354,.ped,dryad
308,54671,.shp,dryad
309,54671,.prj,dryad
310,54671,.shx,dryad
311,54671,.txt,dryad
312,54671,.cpg,dryad
313,54671,.dbf,dryad
314,54847,.docx,dryad
315,55364,.xlsx,dryad
316,55874,.zip,dryad
317,55944,.xlsx,dryad
318,55944,.txt,dryad
319,55998,.txt,dryad
320,55998,.csv,dryad
321,56536,.rds,dryad
322,56536,.Rmd,dryad
323,56536,.R,dryad
324,57042,.zip,dryad
325,57177,.txt,dryad
326,57177,.zip,dryad
327,57237,.docx,dryad
328,57237,.zip,dryad
329,57834,.tar.gz,dryad
330,58167,.pdf,dryad
331,58167,.csv,dryad
332,58487,.md,dryad
333,58487,.tsv,dryad
334,58750,.tar.gz,dryad
335,58843,.tar.gz,dryad
336,58897,.xlsx,dryad
337,58897,.txt,dryad
338,59682,.txt,dryad
339,59682,.ipynb,dryad
340,59682,.zip,dryad
341,59972,.zip,dryad
342,60130,.txt,dryad
343,60130,.zip,dryad
344,60662,.docx,dryad
345,60662,.csv,dryad
346,61123,.Rhistory,dryad
347,61123,.R,dryad
348,61123,.docx,dryad
349,61123,.csv,dryad
350,61123,.rar,dryad
351,61346,.zip,dryad
352,61401,.csv,dryad
353,61587,.txt,dryad
354,61587,.mat,dryad
355,61800,.R,dryad
356,61800,.txt,dryad
357,61800,.zip,dryad
358,61972,.xlsx,dryad
359,62405,.fastq.gz,dryad
360,63006,.csv,dryad
361,63082,.txt,dryad
362,63820,.rtf,dryad
363,63820,.zip,dryad
364,63881,.txt,dryad
365,63881,.csv,dryad
366,63980,.json,dryad
367,63980,.md,dryad
368,63994,.txt,dryad
369,63994,.zip,dryad
370,64596,.rar,dryad
371,64737,.docx,dryad
372,64737,.zip,dryad
373,64850,.odt,dryad
374,64850,.zip,dryad
375,65535,.txt,dryad
376,65535,.zip,dryad
377,65816,.txt,dryad
378,65816,.csv,dryad
379,66517,.zip,dryad
380,66920,.docx,dryad
381,67185,.xlsx,dryad
382,67185,.csv,dryad
383,67581,.hdf5,dryad
384,67581,.txt,dryad
385,67597,.csv,dryad
386,68541,.zip,dryad
387,68564,.xlsx,dryad
388,68564,.docx,dryad
389,68602,.zip,dryad
