,index,files,repo
0,0,.tif,figshare_subset
1,0,.pdf,figshare_subset
2,0,.xls,figshare_subset
3,1,.doc,figshare_subset
4,1,.tif,figshare_subset
5,2,.xlsx,figshare_subset
6,2,.zip,figshare_subset
7,3,.pdf,figshare_subset
8,4,.xlsx,figshare_subset
9,4,.pdf,figshare_subset
10,5,.txt,figshare_subset
11,5,.pdf,figshare_subset
12,5,.xls,figshare_subset
13,6,.FA,figshare_subset
14,7,.doc,figshare_subset
15,7,.tif,figshare_subset
16,7,.pdf,figshare_subset
17,7,.xls,figshare_subset
18,8,.txt,figshare_subset
19,8,.tif,figshare_subset
20,9,.tif,figshare_subset
21,9,.docx,figshare_subset
22,10,.doc,figshare_subset
23,10,.tif,figshare_subset
24,11,.xlsx,figshare_subset
25,12,.tif,figshare_subset
26,12,.docx,figshare_subset
27,13,.doc,figshare_subset
28,13,.xlsx,figshare_subset
29,14,.pdf,figshare_subset
30,15,.doc,figshare_subset
31,16,.docx,figshare_subset
32,17,.xls,figshare_subset
33,18,.pdf,figshare_subset
34,19,.doc,figshare_subset
35,19,.tif,figshare_subset
36,20,.pdf,figshare_subset
37,21,.doc,figshare_subset
38,22,.docx,figshare_subset
39,23,.doc,figshare_subset
40,23,.tif,figshare_subset
41,24,.doc,figshare_subset
42,25,.doc,figshare_subset
43,25,.xlsx,figshare_subset
44,25,.pdf,figshare_subset
45,25,.docx,figshare_subset
46,26,.PDF,figshare_subset
47,26,.ODS,figshare_subset
48,27,.eps,figshare_subset
49,27,.pdf,figshare_subset
50,28,.txt,figshare_subset
51,28,.xls,figshare_subset
52,28,.zip,figshare_subset
53,29,.doc,figshare_subset
54,30,.rar,figshare_subset
55,30,.xls,figshare_subset
56,31,.tif,figshare_subset
57,31,.docx,figshare_subset
58,31,.xlsx,figshare_subset
59,32,.doc,figshare_subset
60,32,.zip,figshare_subset
61,33,.pdf,figshare_subset
62,34,.xls,figshare_subset
63,35,.docx,figshare_subset
64,36,.txt,figshare_subset
65,36,.pdf,figshare_subset
66,36,.xls,figshare_subset
67,37,.pdf,figshare_subset
68,38,.doc,figshare_subset
69,39,.doc,figshare_subset
70,40,.doc,figshare_subset
71,41,.pdf,figshare_subset
72,42,.tif,figshare_subset
73,42,.pdf,figshare_subset
74,43,.pdf,figshare_subset
75,44,.xls,figshare_subset
76,45,.doc,figshare_subset
77,46,.pdf,figshare_subset
78,47,.doc,figshare_subset
79,48,.docx,figshare_subset
80,49,.doc,figshare_subset
81,49,.txt,figshare_subset
82,50,.doc,figshare_subset
83,51,.pdf,figshare_subset
84,52,.doc,figshare_subset
85,52,.txt,figshare_subset
86,52,.xls,figshare_subset
87,53,.docx,figshare_subset
88,54,.doc,figshare_subset
89,54,.tif,figshare_subset
90,54,.xls,figshare_subset
91,55,.doc,figshare_subset
92,55,.tif,figshare_subset
93,56,.eps,figshare_subset
94,56,.txt,figshare_subset
95,57,.xlsx,figshare_subset
96,58,.doc,figshare_subset
97,59,.doc,figshare_subset
98,59,.txt,figshare_subset
99,59,.pdf,figshare_subset
100,60,.doc,figshare_subset
101,60,.zip,figshare_subset
102,61,.xls,figshare_subset
103,62,.doc,figshare_subset
104,62,.tif,figshare_subset
105,63,.CSV,figshare_subset
106,63,.TIF,figshare_subset
107,63,.DOC,figshare_subset
108,63,.KML,figshare_subset
109,64,.xls,figshare_subset
110,65,.tif,figshare_subset
111,65,.xls,figshare_subset
112,66,.doc,figshare_subset
113,66,.eps,figshare_subset
114,66,.tif,figshare_subset
115,67,.doc,figshare_subset
116,67,.tif,figshare_subset
117,68,.doc,figshare_subset
118,68,.xls,figshare_subset
119,69,.doc,figshare_subset
120,69,.tif,figshare_subset
121,69,.xls,figshare_subset
122,70,.txt,figshare_subset
123,71,.tif,figshare_subset
124,72,.pdf,figshare_subset
125,72,.xls,figshare_subset
126,73,.doc,figshare_subset
127,73,.tif,figshare_subset
128,74,.tif,figshare_subset
129,75,.pdf,figshare_subset
130,75,.xls,figshare_subset
131,76,.doc,figshare_subset
132,76,.pdf,figshare_subset
133,77,.tif,figshare_subset
134,78,.xls,figshare_subset
135,79,.doc,figshare_subset
136,79,.tif,figshare_subset
137,79,.zip,figshare_subset
138,80,.txt,figshare_subset
139,80,.pdf,figshare_subset
140,81,.tif,figshare_subset
141,81,.pdf,figshare_subset
142,82,.tif,figshare_subset
143,82,.pdf,figshare_subset
144,83,.pdf,figshare_subset
145,84,.pdf,figshare_subset
146,85,.doc,figshare_subset
147,85,.tif,figshare_subset
148,86,.pdf,figshare_subset
149,87,.doc,figshare_subset
150,87,.eps,figshare_subset
151,88,.tif,figshare_subset
152,88,.pdf,figshare_subset
153,89,.tif,figshare_subset
154,89,.pdf,figshare_subset
155,90,.doc,figshare_subset
156,90,.txt,figshare_subset
157,90,.xls,figshare_subset
158,91,.tif,figshare_subset
159,91,.pdf,figshare_subset
160,92,.pdf,figshare_subset
161,92,.rtf,figshare_subset
162,93,.tif,figshare_subset
163,93,.xls,figshare_subset
164,94,.pdf,figshare_subset
165,95,.doc,figshare_subset
166,95,.pdf,figshare_subset
167,96,.pdf,figshare_subset
168,97,.doc,figshare_subset
169,97,.tif,figshare_subset
170,98,.doc,figshare_subset
171,98,.txt,figshare_subset
172,98,.pdf,figshare_subset
173,98,.xls,figshare_subset
174,99,.doc,figshare_subset
175,100,.doc,figshare_subset
176,101,.xls,figshare_subset
177,102,.CDR,figshare_subset
178,103,.doc,figshare_subset
179,103,.tif,figshare_subset
180,103,.zip,figshare_subset
181,104,.doc,figshare_subset
182,104,.xls,figshare_subset
183,105,.doc,figshare_subset
184,105,.tif,figshare_subset
185,105,.zip,figshare_subset
186,106,.doc,figshare_subset
187,107,.ps,figshare_subset
188,108,.pdf,figshare_subset
189,109,.DOC,figshare_subset
190,109,.TDS,figshare_subset
191,110,.doc,figshare_subset
192,110,.pdf,figshare_subset
193,111,.doc,figshare_subset
194,111,.ps,figshare_subset
195,111,.xls,figshare_subset
196,112,.pdf,figshare_subset
197,113,.doc,figshare_subset
198,113,.pdf,figshare_subset
199,114,.pptx,figshare_subset
200,115,.xlsx,figshare_subset
201,115,.pdf,figshare_subset
202,116,.doc,figshare_subset
