,index,files,repo
0,https://archive-beta.ics.uci.edu/ml/datasets/2+4+ghz+indoor+channel+measurements,,uci
1,https://archive-beta.ics.uci.edu/ml/datasets/2+4+ghz+indoor+channel+measurements,.zip,uci
2,https://archive-beta.ics.uci.edu/ml/datasets/3d+road+network+north+jutland+denmark,,uci
3,https://archive-beta.ics.uci.edu/ml/datasets/3d+road+network+north+jutland+denmark,.txt,uci
4,https://archive-beta.ics.uci.edu/ml/datasets/3w+dataset,,uci
5,https://archive-beta.ics.uci.edu/ml/datasets/3w+dataset,.txt,uci
6,https://archive-beta.ics.uci.edu/ml/datasets/a+study+of+asian+religious+and+biblical+texts,,uci
7,https://archive-beta.ics.uci.edu/ml/datasets/a+study+of+asian+religious+and+biblical+texts,.zip,uci
8,https://archive-beta.ics.uci.edu/ml/datasets/aaai+2013+accepted+papers,,uci
9,https://archive-beta.ics.uci.edu/ml/datasets/aaai+2013+accepted+papers,.csv,uci
10,https://archive-beta.ics.uci.edu/ml/datasets/aaai+2014+accepted+papers,,uci
11,https://archive-beta.ics.uci.edu/ml/datasets/aaai+2014+accepted+papers,.csv,uci
12,https://archive-beta.ics.uci.edu/ml/datasets/abalone,,uci
13,https://archive-beta.ics.uci.edu/ml/datasets/abalone,.data,uci
14,https://archive-beta.ics.uci.edu/ml/datasets/abalone,.names,uci
15,https://archive-beta.ics.uci.edu/ml/datasets/abscisic+acid+signaling+network,,uci
16,https://archive-beta.ics.uci.edu/ml/datasets/abscisic+acid+signaling+network,.data,uci
17,https://archive-beta.ics.uci.edu/ml/datasets/abscisic+acid+signaling+network,.names,uci
18,https://archive-beta.ics.uci.edu/ml/datasets/absenteeism+at+work,,uci
19,https://archive-beta.ics.uci.edu/ml/datasets/absenteeism+at+work,.zip,uci
20,https://archive-beta.ics.uci.edu/ml/datasets/activities+of+daily+living+adls+recognition+using+binary+sensors,,uci
21,https://archive-beta.ics.uci.edu/ml/datasets/activities+of+daily+living+adls+recognition+using+binary+sensors,.zip,uci
22,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+from+single+chest+mounted+accelerometer,,uci
23,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+from+single+chest+mounted+accelerometer,.zip,uci
24,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+system+based+on+multisensor+data+fusion+arem,,uci
25,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+system+based+on+multisensor+data+fusion+arem,.zip,uci
26,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+using+wearable+physiological+measurements,,uci
27,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+using+wearable+physiological+measurements,.zip,uci
28,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+with+healthy+older+people+using+a+batteryless+wearable+sensor,,uci
29,https://archive-beta.ics.uci.edu/ml/datasets/activity+recognition+with+healthy+older+people+using+a+batteryless+wearable+sensor,.zip,uci
30,https://archive-beta.ics.uci.edu/ml/datasets/acute+inflammations,,uci
31,https://archive-beta.ics.uci.edu/ml/datasets/acute+inflammations,.data,uci
