,index,files,repo
1,bb5023335q,.txt,ucsd
2,bb5023335q,.zip,ucsd
4,bb2666864s,.md,ucsd
5,bb2666864s,.zip,ucsd
7,bb2666864s,.pdf,ucsd
9,bb2666864s,,ucsd
12,bb8676950x,.pdf,ucsd
14,bb0691480b,.txt,ucsd
15,bb0691480b,.docx,ucsd
16,bb0691480b,.zip,ucsd
18,bb0691480b,.pptx,ucsd
20,bb34560073,.pdf,ucsd
21,bb34560073,.zip,ucsd
28,bb47487939,.txt,ucsd
29,bb47487939,.zip,ucsd
30,bb47487939,.pdf,ucsd
32,bb3281205b,.txt,ucsd
33,bb3281205b,.zip,ucsd
35,bb3281205b,.pdf,ucsd
40,bb5602691s,.md,ucsd
41,bb5602691s,.pdf,ucsd
42,bb5602691s,.zip,ucsd
50,bb66600042,.zip,ucsd
52,bb0892752c,.md,ucsd
53,bb0892752c,.pdf,ucsd
54,bb0892752c,.zip,ucsd
57,bb94252168,.png,ucsd
58,bb94252168,.txt,ucsd
59,bb94252168,.zip,ucsd
61,bb4782925w,.txt,ucsd
62,bb4782925w,.zip,ucsd
63,bb4782925w,.pdf,ucsd
66,bb1507819f,.md,ucsd
67,bb1507819f,.pdf,ucsd
68,bb1507819f,.tgz,ucsd
71,bb8503744c,.txt,ucsd
72,bb8503744c,.pdf,ucsd
73,bb8503744c,.zip,ucsd
74,bb8503744c,.twbx,ucsd
78,bb09979489,.md,ucsd
79,bb09979489,.pdf,ucsd
80,bb09979489,.zip,ucsd
82,bb09979489,.tgz,ucsd
85,bb20197654,.txt,ucsd
86,bb20197654,.zip,ucsd
95,bb20197654,,ucsd
117,bb20197654,.xml,ucsd
119,bb3077072p,.md,ucsd
120,bb3077072p,.PDF,ucsd
121,bb3077072p,.zip,ucsd
126,bb88449405,.md,ucsd
127,bb88449405,.zip,ucsd
131,bb7787014v,.md,ucsd
132,bb7787014v,.pdf,ucsd
133,bb7787014v,.zip,ucsd
137,bb3352917m,.md,ucsd
138,bb3352917m,.pdf,ucsd
139,bb3352917m,.zip,ucsd
146,bb5021836n,.md,ucsd
147,bb5021836n,.tar.gz,ucsd
148,bb5021836n,.pdf,ucsd
151,bb5534097t,.zip,ucsd
152,bb5534097t,.png,ucsd
154,bb4237495g,.md,ucsd
155,bb4237495g,.pdf,ucsd
156,bb4237495g,.zip,ucsd
158,bb4237495g,.pptx.pdf,ucsd
160,bb4103775q,.md,ucsd
161,bb4103775q,.pdf,ucsd
162,bb4103775q,.zip,ucsd
167,bb4103775q,.twb,ucsd
169,bb4749622c,.md,ucsd
170,bb4749622c,.tgz,ucsd
